Player,Team,Conference,Date,Position,Height
Baron Davis,Golden State Warriors,West,"Dec 5, 2005",G,6'3
Gerald Wallace,Charlotte Bobcats,East,"Nov 28, 2005",F,6'7
Steve Nash,Phoenix Suns,West,"Nov 28, 2005",G,6'3
LeBron James,Cleveland Cavaliers,East,"Nov 21, 2005",F,6'8
Elton Brand,Los Angeles Clippers,West,"Nov 21, 2005",PF,6'9
Gilbert Arenas,Washington Wizards,East,"Nov 14, 2005",G,6'3
Marcus Camby,Denver Nuggets,West,"Nov 14, 2005",C,6'11
T.J. Ford,Milwaukee Bucks,East,"Nov 7, 2005",PG,6'0
Kobe Bryant,Los Angeles Lakers,West,"Nov 7, 2005",SG,6'6
Jason Kidd,New Jersey Nets,East,"Apr 17, 2005",PG,6'4
Tracy McGrady,Houston Rockets,West,"Apr 17, 2005",GF,6'8
Vince Carter,New Jersey Nets,East,"Apr 10, 2005",SF,6'6
Baron Davis,Golden State Warriors,West,"Apr 10, 2005",G,6'3
Reggie Miller,Indiana Pacers,East,"Apr 3, 2005",SG,6'7
Baron Davis,Golden State Warriors,West,"Apr 3, 2005",G,6'3
Allen Iverson,Philadelphia Sixers,East,"Mar 27, 2005",G,6'0
Ray Allen,Seattle SuperSonics,West,"Mar 27, 2005",SG,6'5
Chauncey Billups,Detroit Pistons,East,"Mar 20, 2005",G,6'3
Jason Richardson,Golden State Warriors,West,"Mar 20, 2005",GF,6'6
Paul Pierce,Boston Celtics,East,"Mar 13, 2005",SF,6'7
Tracy McGrady,Houston Rockets,West,"Mar 13, 2005",GF,6'8
Allen Iverson,Philadelphia Sixers,East,"Mar 6, 2005",G,6'0
Marcus Camby,Denver Nuggets,West,"Mar 6, 2005",C,6'11
Jalen Rose,Toronto Raptors,East,"Feb 27, 2005",G,6'8
Mike Bibby,Sacramento Kings,West,"Feb 27, 2005",G,6'2
Allen Iverson,Philadelphia Sixers,East,"Feb 13, 2005",G,6'0
Steve Nash,Phoenix Suns,West,"Feb 13, 2005",G,6'3
Paul Pierce,Boston Celtics,East,"Feb 6, 2005",SF,6'7
Tracy McGrady,Houston Rockets,West,"Feb 6, 2005",GF,6'8
Vince Carter,New Jersey Nets,East,"Jan 30, 2005",SF,6'6
Brad Miller,Sacramento Kings,West,"Jan 30, 2005",C,7'0
LeBron James,Cleveland Cavaliers,East,"Jan 23, 2005",F,6'8
Jason Terry,Dallas Mavericks,West,"Jan 23, 2005",G,6'2
Larry Hughes,Washington Wizards,East,"Jan 16, 2005",G,6'5
Tracy McGrady,Houston Rockets,West,"Jan 16, 2005",GF,6'8
Chris Bosh,Toronto Raptors,East,"Jan 9, 2005",PF,6'11
Bruce Bowen,San Antonio Spurs,West,"Jan 9, 2005",F,6'7
Stephon Marbury,New York Knicks,East,"Jan 2, 2005",G,6'2
Pau Gasol,Memphis Grizzlies,West,"Jan 2, 2005",FC,7'0
Allen Iverson,Philadelphia Sixers,East,"Dec 26, 2004",G,6'0
Steve Nash,Phoenix Suns,West,"Dec 26, 2004",G,6'3
Shaquille O'Neal,Miami Heat,East,"Dec 19, 2004",C,7'1
Shawn Marion,Phoenix Suns,West,"Dec 19, 2004",F,6'7
Richard Jefferson,New Jersey Nets,East,"Dec 12, 2004",SF,6'7
Amar'e Stoudemire,Phoenix Suns,West,"Dec 12, 2004",FC,6'10
Gilbert Arenas,Washington Wizards,East,"Dec 5, 2004",G,6'3
Dirk Nowitzki,Dallas Mavericks,West,"Dec 5, 2004",PF,7'0
LeBron James,Cleveland Cavaliers,East,"Nov 28, 2004",F,6'8
Shawn Marion,Phoenix Suns,West,"Nov 28, 2004",F,6'7
Grant Hill,Orlando Magic,East,"Nov 21, 2004",SF,6'8
Amar'e Stoudemire,Phoenix Suns,West,"Nov 21, 2004",FC,6'10
LeBron James,Cleveland Cavaliers,East,"Nov 14, 2004",F,6'8
Ray Allen,Seattle SuperSonics,West,"Nov 14, 2004",SG,6'5
Dwyane Wade,Miami Heat,East,"Nov 7, 2004",SG,6'4
Kevin Garnett,Minnesota Timberwolves,West,"Nov 7, 2004",PF,6'11
Jamaal Magloire,New Orleans Hornets,East,"Apr 12, 2004",C,6'11
Carmelo Anthony,Denver Nuggets,West,"Apr 12, 2004",F,6'8
Richard Jefferson,New Jersey Nets,East,"Apr 5, 2004",SF,6'7
Dirk Nowitzki,Dallas Mavericks,West,"Apr 5, 2004",PF,7'0
Metta World Peace,Indiana Pacers,East,"Mar 29, 2004",SF,6'7
Kobe Bryant,Los Angeles Lakers,West,"Mar 29, 2004",SG,6'6
Vince Carter,Toronto Raptors,East,"Mar 21, 2004",SF,6'6
Shaquille O'Neal,Los Angeles Lakers,West,"Mar 21, 2004",C,7'1
Zydrunas Ilgauskas,Cleveland Cavaliers,East,"Mar 14, 2004",C,7'3
Carmelo Anthony,Denver Nuggets,West,"Mar 14, 2004",F,6'8
Lamar Odom,Miami Heat,East,"Mar 7, 2004",PF,6'10
Yao Ming,Houston Rockets,West,"Mar 7, 2004",C,7'6
Ben Wallace,Detroit Pistons,East,"Feb 29, 2004",FC,6'9
Andrei Kirilenko,Utah Jazz,West,"Feb 29, 2004",PF,6'9
Dwyane Wade,Miami Heat,East,"Feb 22, 2004",SG,6'4
Kobe Bryant,Los Angeles Lakers,West,"Feb 22, 2004",SG,6'6
Kenyon Martin,New Jersey Nets,East,"Feb 8, 2004",F,6'9
Tim Duncan,San Antonio Spurs,West,"Feb 8, 2004",FC,6'11
Jason Kidd,New Jersey Nets,East,"Feb 1, 2004",PG,6'4
Kevin Garnett,Minnesota Timberwolves,West,"Feb 1, 2004",PF,6'11
Carlos Boozer,Cleveland Cavaliers,East,"Jan 25, 2004",PF,6'9
Kevin Garnett,Minnesota Timberwolves,West,"Jan 25, 2004",PF,6'11
Stephon Marbury,New York Knicks,East,"Jan 18, 2004",G,6'2
Michael Finley,Dallas Mavericks,West,"Jan 18, 2004",G-F,6'7
Paul Pierce,Boston Celtics,East,"Jan 11, 2004",SF,6'7
Ray Allen,Seattle SuperSonics,West,"Jan 11, 2004",SG,6'5
Ben Wallace,Detroit Pistons,East,"Jan 4, 2004",FC,6'9
Elton Brand,Los Angeles Clippers,West,"Jan 4, 2004",PF,6'9
Jason Kidd,New Jersey Nets,East,"Dec 28, 2003",PG,6'4
Sam Cassell,Minnesota Timberwolves,West,"Dec 28, 2003",G,6'3
Tracy McGrady,Orlando Magic,East,"Dec 21, 2003",GF,6'8
Kevin Garnett,Minnesota Timberwolves,West,"Dec 21, 2003",PF,6'11
Paul Pierce,Boston Celtics,East,"Dec 14, 2003",SF,6'7
Peja Stojakovic,Sacramento Kings,West,"Dec 14, 2003",F,6'10
Vince Carter,Toronto Raptors,East,"Dec 7, 2003",SF,6'6
Shaquille O'Neal,Los Angeles Lakers,West,"Dec 7, 2003",C,7'1
Dikembe Mutombo,New York Knicks,East,"Nov 30, 2003",C,7'2
Voshon Lenard,Denver Nuggets,West,"Nov 30, 2003",SG,6'4
Chauncey Billups,Detroit Pistons,East,"Nov 23, 2003",G,6'3
Kevin Garnett,Minnesota Timberwolves,West,"Nov 23, 2003",PF,6'11
Allen Iverson,Philadelphia Sixers,East,"Nov 16, 2003",G,6'0
Quentin Richardson,Los Angeles Clippers,West,"Nov 16, 2003",GF,6'6
Metta World Peace,Indiana Pacers,East,"Nov 9, 2003",SF,6'7
Andrei Kirilenko,Utah Jazz,West,"Nov 9, 2003",PF,6'9
Baron Davis,New Orleans Hornets,East,"Nov 2, 2003",G,6'3
Rashard Lewis,Seattle SuperSonics,West,"Nov 2, 2003",F,6'10
Tracy McGrady,Orlando Magic,East,"Apr 13, 2003",GF,6'8
Shawn Marion,Phoenix Suns,West,"Apr 13, 2003",F,6'7
Jason Kidd,New Jersey Nets,East,"Apr 6, 2003",PG,6'4
Shaquille O'Neal,Los Angeles Lakers,West,"Apr 6, 2003",C,7'1
Richard Jefferson,New Jersey Nets,East,"Mar 30, 2003",SF,6'7
Tim Duncan,San Antonio Spurs,West,"Mar 30, 2003",FC,6'11
Ben Wallace,Detroit Pistons,East,"Mar 23, 2003",FC,6'9
Peja Stojakovic,Sacramento Kings,West,"Mar 23, 2003",F,6'10
Allen Iverson,Philadelphia Sixers,East,"Mar 16, 2003",G,6'0
Steve Francis,Houston Rockets,West,"Mar 16, 2003",G,6'3
Tracy McGrady,Orlando Magic,East,"Mar 9, 2003",GF,6'8
Shaquille O'Neal,Los Angeles Lakers,West,"Mar 9, 2003",C,7'1
Michael Jordan,Washington Wizards,East,"Mar 2, 2003",SG,6'6
Ray Allen,Seattle SuperSonics,West,"Mar 2, 2003",SG,6'5
Tracy McGrady,Orlando Magic,East,"Feb 23, 2003",GF,6'8
Kobe Bryant,Los Angeles Lakers,West,"Feb 23, 2003",SG,6'6
Allan Houston,New York Knicks,East,"Feb 16, 2003",G,6'6
Tim Duncan,San Antonio Spurs,West,"Feb 16, 2003",FC,6'11
Chauncey Billups,Detroit Pistons,East,"Feb 2, 2003",G,6'3
Kobe Bryant,Los Angeles Lakers,West,"Feb 2, 2003",SG,6'6
Paul Pierce,Boston Celtics,East,"Jan 26, 2003",SF,6'7
Tim Duncan,San Antonio Spurs,West,"Jan 26, 2003",FC,6'11
Antoine Walker,Boston Celtics,East,"Jan 19, 2003",F,6'9
Steve Francis,Houston Rockets,West,"Jan 19, 2003",G,6'3
Jermaine O'Neal,Indiana Pacers,East,"Jan 12, 2003",FC,6'11
Kobe Bryant,Los Angeles Lakers,West,"Jan 12, 2003",SG,6'6
Stephon Marbury,Phoenix Suns,West,"Jan 12, 2003",G,6'2
Michael Jordan,Washington Wizards,East,"Jan 5, 2003",SG,6'6
Dirk Nowitzki,Dallas Mavericks,West,"Jan 5, 2003",PF,7'0
Lucious Harris,New Jersey Nets,East,"Dec 29, 2002",SG,6'5
Tim Duncan,San Antonio Spurs,West,"Dec 29, 2002",FC,6'11
Jason Kidd,New Jersey Nets,East,"Dec 22, 2002",PG,6'4
Tim Duncan,San Antonio Spurs,West,"Dec 22, 2002",FC,6'11
Antoine Walker,Boston Celtics,East,"Dec 15, 2002",F,6'9
Chris Webber,Sacramento Kings,West,"Dec 15, 2002",F-C,6'9
Paul Pierce,Boston Celtics,East,"Dec 8, 2002",SF,6'7
Kobe Bryant,Los Angeles Lakers,West,"Dec 8, 2002",SG,6'6
Allen Iverson,Philadelphia Sixers,East,"Dec 1, 2002",G,6'0
Stephon Marbury,Phoenix Suns,West,"Dec 1, 2002",G,6'2
Allen Iverson,Philadelphia Sixers,East,"Nov 24, 2002",G,6'0
Kevin Garnett,Minnesota Timberwolves,West,"Nov 24, 2002",PF,6'11
Metta World Peace,Indiana Pacers,East,"Nov 17, 2002",SF,6'7
Rashard Lewis,Seattle SuperSonics,West,"Nov 17, 2002",F,6'10
Jerry Stackhouse,Washington Wizards,East,"Nov 10, 2002",SF,6'6
Dirk Nowitzki,Dallas Mavericks,West,"Nov 10, 2002",PF,7'0
Glenn Robinson,Atlanta Hawks,East,"Nov 3, 2002",SF,6'7
Kobe Bryant,Los Angeles Lakers,West,"Nov 3, 2002",SG,6'6
Paul Pierce,Boston Celtics,East,"Apr 7, 2002",SF,6'7
Tim Duncan,San Antonio Spurs,West,"Apr 7, 2002",FC,6'11
Ben Wallace,Detroit Pistons,East,"Mar 31, 2002",FC,6'9
Shawn Marion,Phoenix Suns,West,"Mar 31, 2002",F,6'7
Jason Kidd,New Jersey Nets,East,"Mar 24, 2002",PG,6'4
Tim Duncan,San Antonio Spurs,West,"Mar 24, 2002",FC,6'11
Tracy McGrady,Orlando Magic,East,"Mar 17, 2002",GF,6'8
Tim Duncan,San Antonio Spurs,West,"Mar 17, 2002",FC,6'11
Kurt Thomas,New York Knicks,East,"Mar 10, 2002",FC,6'9
Shaquille O'Neal,Los Angeles Lakers,West,"Mar 10, 2002",C,7'1
Allen Iverson,Philadelphia Sixers,East,"Mar 3, 2002",G,6'0
Rasheed Wallace,Portland Trail Blazers,West,"Mar 3, 2002",FC,6'11
Ben Wallace,Detroit Pistons,East,"Feb 24, 2002",FC,6'9
Shaquille O'Neal,Los Angeles Lakers,West,"Feb 24, 2002",C,7'1
Andre Miller,Cleveland Cavaliers,East,"Feb 17, 2002",PG,6'3
Karl Malone,Utah Jazz,West,"Feb 17, 2002",PF,6'9
Jason Kidd,New Jersey Nets,East,"Feb 3, 2002",PG,6'4
Shaquille O'Neal,Los Angeles Lakers,West,"Feb 3, 2002",C,7'1
Allen Iverson,Philadelphia Sixers,East,"Jan 27, 2002",G,6'0
Dirk Nowitzki,Dallas Mavericks,West,"Jan 27, 2002",PF,7'0
Allen Iverson,Philadelphia Sixers,East,"Jan 20, 2002",G,6'0
Kobe Bryant,Los Angeles Lakers,West,"Jan 20, 2002",SG,6'6
Ray Allen,Milwaukee Bucks,East,"Jan 13, 2002",SG,6'5
Kevin Garnett,Minnesota Timberwolves,West,"Jan 13, 2002",PF,6'11
Eddie Jones,Miami Heat,East,"Jan 6, 2002",G-F,6'6
Chris Webber,Sacramento Kings,West,"Jan 6, 2002",F-C,6'9
Jason Kidd,New Jersey Nets,East,"Dec 30, 2001",PG,6'4
Tim Duncan,San Antonio Spurs,West,"Dec 30, 2001",FC,6'11
Jermaine O'Neal,Indiana Pacers,East,"Dec 23, 2001",FC,6'11
Gary Payton,Seattle SuperSonics,West,"Dec 23, 2001",G,6'4
Richard Hamilton,Washington Wizards,East,"Dec 16, 2001",SG,6'7
Steve Nash,Dallas Mavericks,West,"Dec 16, 2001",G,6'3
Andre Miller,Cleveland Cavaliers,East,"Dec 9, 2001",PG,6'3
Elton Brand,Los Angeles Clippers,West,"Dec 9, 2001",PF,6'9
Paul Pierce,Boston Celtics,East,"Dec 2, 2001",SF,6'7
Stephon Marbury,Phoenix Suns,West,"Dec 2, 2001",G,6'2
Shareef Abdur-Rahim,Atlanta Hawks,East,"Nov 25, 2001",F,6'9
Tim Duncan,San Antonio Spurs,West,"Nov 25, 2001",FC,6'11
Allen Iverson,Philadelphia Sixers,East,"Nov 18, 2001",G,6'0
Kevin Garnett,Minnesota Timberwolves,West,"Nov 18, 2001",PF,6'11
Vince Carter,Toronto Raptors,East,"Nov 11, 2001",SF,6'6
Tim Duncan,San Antonio Spurs,West,"Nov 11, 2001",FC,6'11
Ray Allen,Milwaukee Bucks,East,"Nov 4, 2001",SG,6'5
Kobe Bryant,Los Angeles Lakers,West,"Nov 4, 2001",SG,6'6
Ray Allen,Milwaukee Bucks,,"Apr 15, 2001",SG,6'5
Shaquille O'Neal,Los Angeles Lakers,,"Apr 8, 2001",C,7'1
Jason Kidd,Phoenix Suns,,"Apr 1, 2001",PG,6'4
Paul Pierce,Boston Celtics,,"Mar 25, 2001",SF,6'7
Cuttino Mobley,Houston Rockets,,"Mar 18, 2001",G,6'4
Derek Anderson,San Antonio Spurs,,"Mar 11, 2001",G,6'5
Vince Carter,Toronto Raptors,,"Mar 4, 2001",SF,6'6
Shawn Marion,Phoenix Suns,,"Feb 25, 2001",F,6'7
Allen Iverson,Philadelphia Sixers,,"Feb 18, 2001",G,6'0
Darrell Armstrong,Orlando Magic,,"Feb 4, 2001",PG,6'0
Tim Duncan,San Antonio Spurs,,"Jan 28, 2001",FC,6'11
Chris Webber,Sacramento Kings,,"Jan 22, 2001",F-C,6'9
Steve Francis,Houston Rockets,,"Jan 14, 2001",G,6'3
Allen Iverson,Philadelphia Sixers,,"Jan 7, 2001",G,6'0
Aaron McKie,Philadelphia Sixers,,"Dec 31, 2000",G,6'5
Kobe Bryant,Los Angeles Lakers,,"Dec 24, 2000",SG,6'6
Glenn Robinson,Milwaukee Bucks,,"Dec 17, 2000",SF,6'7
Chris Webber,Sacramento Kings,,"Dec 10, 2000",F-C,6'9
Antonio McDyess,Denver Nuggets,,"Dec 3, 2000",F,6'9
Baron Davis,Charlotte Hornets,,"Nov 26, 2000",G,6'3
Kevin Garnett,Minnesota Timberwolves,,"Nov 19, 2000",PF,6'11
Stephon Marbury,New Jersey Nets,,"Nov 12, 2000",G,6'2
Karl Malone,Utah Jazz,,"Nov 6, 2000",PF,6'9
John Stockton,Utah Jazz,,"Nov 6, 2000",PG,6'1
Kobe Bryant,Los Angeles Lakers,,"Apr 17, 2000",SG,6'6
Alonzo Mourning,Miami Heat,,"Apr 10, 2000",C,6'10
Tim Duncan,San Antonio Spurs,,"Apr 3, 2000",FC,6'11
Kevin Garnett,Minnesota Timberwolves,,"Mar 27, 2000",PF,6'11
Jalen Rose,Indiana Pacers,,"Mar 20, 2000",G,6'8
Shaquille O'Neal,Los Angeles Lakers,,"Mar 13, 2000",C,7'1
Karl Malone,Utah Jazz,,"Mar 6, 2000",PF,6'9
Vince Carter,Toronto Raptors,,"Feb 28, 2000",SF,6'6
Shaquille O'Neal,Los Angeles Lakers,,"Feb 22, 2000",C,7'1
Michael Finley,Dallas Mavericks,,"Feb 7, 2000",G-F,6'7
Dikembe Mutombo,Atlanta Hawks,,"Jan 31, 2000",C,7'2
Steve Francis,Houston Rockets,,"Jan 24, 2000",G,6'3
Chris Webber,Sacramento Kings,,"Jan 17, 2000",F-C,6'9
Grant Hill,Detroit Pistons,,"Jan 10, 2000",SF,6'8
Chris Webber,Sacramento Kings,,"Jan 3, 2000",F-C,6'9
Kevin Garnett,Minnesota Timberwolves,,"Dec 27, 1999",PF,6'11
Jason Kidd,Phoenix Suns,,"Dec 20, 1999",PG,6'4
Alonzo Mourning,Miami Heat,,"Dec 13, 1999",C,6'10
Shaquille O'Neal,Los Angeles Lakers,,"Dec 5, 1999",C,7'1
Tim Duncan,San Antonio Spurs,,"Nov 28, 1999",FC,6'11
Vince Carter,Toronto Raptors,,"Nov 21, 1999",SF,6'6
Kevin Garnett,Minnesota Timberwolves,,"Nov 14, 1999",PF,6'11
Sam Cassell,Milwaukee Bucks,,"Nov 7, 1999",G,6'3
Grant Hill,Detroit Pistons,,"May 2, 1999",SF,6'8
Chris Webber,Sacramento Kings,,"Apr 25, 1999",F-C,6'9
Jason Kidd,Phoenix Suns,,"Apr 18, 1999",PG,6'4
Karl Malone,Utah Jazz,,"Apr 11, 1999",PF,6'9
Kevin Garnett,Minnesota Timberwolves,,"Apr 4, 1999",PF,6'11
Darrell Armstrong,Orlando Magic,,"Mar 28, 1999",PG,6'0
Vince Carter,Toronto Raptors,,"Mar 21, 1999",SF,6'6
Alonzo Mourning,Miami Heat,,"Mar 14, 1999",C,6'10
Tim Duncan,San Antonio Spurs,,"Mar 7, 1999",FC,6'11
Antonio McDyess,Denver Nuggets,,"Feb 28, 1999",F,6'9
Stephon Marbury,Minnesota Timberwolves,,"Feb 21, 1999",G,6'2
Gary Payton,Seattle SuperSonics,,"Feb 14, 1999",G,6'4
Dikembe Mutombo,Atlanta Hawks,,"Feb 7, 1999",C,7'2
Jason Kidd,Phoenix Suns,,"Apr 19, 1998",PG,6'4
Sam Cassell,New Jersey Nets,,"Apr 12, 1998",G,6'3
Michael Jordan,Chicago Bulls,,"Apr 5, 1998",SG,6'6
Alonzo Mourning,Miami Heat,,"Mar 29, 1998",C,6'10
Shaquille O'Neal,Los Angeles Lakers,,"Mar 22, 1998",C,7'1
Jason Kidd,Phoenix Suns,,"Mar 15, 1998",PG,6'4
Karl Malone,Utah Jazz,,"Mar 8, 1998",PF,6'9
Tim Duncan,San Antonio Spurs,,"Mar 1, 1998",FC,6'11
Nick Anderson,Orlando Magic,,"Feb 22, 1998",GF,6'6
Karl Malone,Utah Jazz,,"Feb 15, 1998",PF,6'9
David Robinson,San Antonio Spurs,,"Feb 1, 1998",C,7'1
Jayson Williams,New Jersey Nets,,"Jan 25, 1998",FC,6'10
Allen Iverson,Philadelphia Sixers,,"Jan 18, 1998",G,6'0
Steve Smith,Atlanta Hawks,,"Jan 11, 1998",SG,6'7
Rik Smits,Indiana Pacers,,"Jan 4, 1998",C,7'4
David Robinson,San Antonio Spurs,,"Dec 28, 1997",C,7'1
Michael Jordan,Chicago Bulls,,"Dec 21, 1997",SG,6'6
Glen Rice,Charlotte Hornets,,"Dec 14, 1997",SF,6'8
Wesley Person,Cleveland Cavaliers,,"Dec 7, 1997",SG,6'6
Karl Malone,Utah Jazz,,"Nov 30, 1997",PF,6'9
Michael Jordan,Chicago Bulls,,"Nov 23, 1997",SG,6'6
Shaquille O'Neal,Los Angeles Lakers,,"Nov 16, 1997",C,7'1
Dikembe Mutombo,Atlanta Hawks,,"Nov 9, 1997",C,7'2
Chris Webber,Washington Bullets,,"Apr 20, 1997",F-C,6'9
Allen Iverson,Philadelphia Sixers,,"Apr 13, 1997",G,6'0
Grant Hill,Detroit Pistons,,"Apr 6, 1997",SF,6'8
Kevin Johnson,Phoenix Suns,,"Mar 30, 1997",PG,6'1
Karl Malone,Utah Jazz,,"Mar 23, 1997",PF,6'9
Karl Malone,Utah Jazz,,"Mar 16, 1997",PF,6'9
Patrick Ewing,New York Knicks,,"Mar 9, 1997",C,7'0
Loy Vaught,Los Angeles Clippers,,"Mar 2, 1997",PF,6'9
Scottie Pippen,Chicago Bulls,,"Feb 23, 1997",SF,6'8
Alonzo Mourning,Miami Heat,,"Feb 16, 1997",C,6'10
Glen Rice,Charlotte Hornets,,"Feb 2, 1997",SF,6'8
Mitch Richmond,Sacramento Kings,,"Jan 26, 1997",SG,6'5
Grant Hill,Detroit Pistons,,"Jan 19, 1997",SF,6'8
Glenn Robinson,Milwaukee Bucks,,"Jan 12, 1997",SF,6'7
Glen Rice,Charlotte Hornets,,"Jan 5, 1997",SF,6'8
Tim Hardaway,Miami Heat,,"Dec 29, 1996",PG,6'0
Terrell Brandon,Cleveland Cavaliers,,"Dec 22, 1996",PG,5'11
Shaquille O'Neal,Los Angeles Lakers,,"Dec 15, 1996",C,7'1
Terry Mills,Detroit Pistons,,"Dec 8, 1996",PF,6'10
Dikembe Mutombo,Atlanta Hawks,,"Dec 1, 1996",C,7'2
Charles Barkley,Houston Rockets,,"Nov 24, 1996",PF,6'6
Karl Malone,Utah Jazz,,"Nov 24, 1996",PF,6'9
Dale Ellis,Denver Nuggets,,"Nov 17, 1996",GF,6'7
Hakeem Olajuwon,Houston Rockets,,"Nov 10, 1996",C,7'0
Dennis Scott,Orlando Magic,,"Apr 21, 1996",SF,6'8
Juwan Howard,Washington Bullets,,"Apr 14, 1996",PF,6'9
Kevin Johnson,Phoenix Suns,,"Apr 7, 1996",PG,6'1
Arvydas Sabonis,Portland Trail Blazers,,"Mar 31, 1996",C,7'3
Chris Gatling,Miami Heat,,"Mar 24, 1996",PF,6'10
Grant Hill,Detroit Pistons,,"Mar 17, 1996",SF,6'8
Michael Jordan,Chicago Bulls,,"Mar 10, 1996",SG,6'6
Shaquille O'Neal,Orlando Magic,,"Mar 3, 1996",C,7'1
Hakeem Olajuwon,Houston Rockets,,"Mar 3, 1996",C,7'0
Shawn Kemp,Seattle SuperSonics,,"Feb 25, 1996",C,6'10
Armen Gilliam,New Jersey Nets,,"Feb 18, 1996",PF,6'9
Jason Kidd,Dallas Mavericks,,"Feb 4, 1996",PG,6'4
Reggie Miller,Indiana Pacers,,"Jan 28, 1996",SG,6'7
Michael Jordan,Chicago Bulls,,"Jan 21, 1996",SG,6'6
David Robinson,San Antonio Spurs,,"Jan 14, 1996",C,7'1
Cliff Robinson,Portland Trail Blazers,,"Jan 7, 1996",PF,6'10
Karl Malone,Utah Jazz,,"Dec 31, 1995",PF,6'9
Michael Jordan,Chicago Bulls,,"Dec 24, 1995",SG,6'6
Scottie Pippen,Chicago Bulls,,"Dec 17, 1995",SF,6'8
Dikembe Mutombo,Denver Nuggets,,"Dec 10, 1995",C,7'2
Terrell Brandon,Cleveland Cavaliers,,"Dec 3, 1995",PG,5'11
Shawn Kemp,Seattle SuperSonics,,"Nov 26, 1995",C,6'10
Cedric Ceballos,Los Angeles Lakers,,"Nov 19, 1995",SF,6'6
Penny Hardaway,Orlando Magic,,"Nov 12, 1995",PG,6'7
Karl Malone,Utah Jazz,,"Apr 23, 1995",PF,6'9
Dikembe Mutombo,Denver Nuggets,,"Apr 16, 1995",C,7'2
Clyde Drexler,Houston Rockets,,"Apr 9, 1995",SG,6'7
David Robinson,San Antonio Spurs,,"Apr 2, 1995",C,7'1
Vlade Divac,Los Angeles Lakers,,"Mar 26, 1995",C,7'1
Jason Kidd,Dallas Mavericks,,"Mar 19, 1995",PG,6'4
Rik Smits,Indiana Pacers,,"Mar 12, 1995",C,7'4
Shaquille O'Neal,Orlando Magic,,"Mar 5, 1995",C,7'1
Rod Strickland,Portland Trail Blazers,,"Feb 26, 1995",PG,6'3
Charles Barkley,Phoenix Suns,,"Feb 19, 1995",PF,6'6
Hakeem Olajuwon,Houston Rockets,,"Feb 5, 1995",C,7'0
John Stockton,Utah Jazz,,"Jan 29, 1995",PG,6'1
Patrick Ewing,New York Knicks,,"Jan 22, 1995",C,7'0
Larry Johnson,Charlotte Hornets,,"Jan 15, 1995",F,6'6
Gary Payton,Seattle SuperSonics,,"Jan 8, 1995",G,6'4
Hakeem Olajuwon,Houston Rockets,,"Jan 1, 1995",C,7'0
Cedric Ceballos,Los Angeles Lakers,,"Dec 25, 1994",SF,6'6
