Player,Team,Conference,Date,Position,Height
Karl Malone,Utah Jazz,,"Dec 18, 1994",PF,6'9
Jamal Mashburn,Dallas Mavericks,,"Dec 11, 1994",SF,6'8
Shaquille O'Neal,Orlando Magic,,"Dec 4, 1994",C,7'1
Penny Hardaway,Orlando Magic,,"Nov 27, 1994",PG,6'7
Elliot Perry,Phoenix Suns,,"Nov 20, 1994",PG,6'0
Tim Hardaway,Golden State Warriors,,"Nov 13, 1994",PG,6'0
David Robinson,San Antonio Spurs,,"Apr 24, 1994",C,7'1
Scottie Pippen,Chicago Bulls,,"Apr 17, 1994",SF,6'8
Dikembe Mutombo,Denver Nuggets,,"Apr 10, 1994",C,7'2
Shawn Kemp,Seattle SuperSonics,,"Apr 3, 1994",C,6'10
Kevin Willis,Atlanta Hawks,,"Mar 27, 1994",C,7'0
Hakeem Olajuwon,Houston Rockets,,"Mar 20, 1994",C,7'0
Joe Dumars,Detroit Pistons,,"Mar 13, 1994",SG,6'3
David Robinson,San Antonio Spurs,,"Mar 6, 1994",C,7'1
Shawn Kemp,Seattle SuperSonics,,"Feb 27, 1994",C,6'10
David Robinson,San Antonio Spurs,,"Feb 20, 1994",C,7'1
David Robinson,San Antonio Spurs,,"Feb 6, 1994",C,7'1
Ron Harper,Los Angeles Clippers,,"Jan 30, 1994",SG,6'6
Kenny Anderson,New Jersey Nets,,"Jan 23, 1994",PG,6'0
Patrick Ewing,New York Knicks,,"Jan 16, 1994",C,7'0
Chris Webber,Golden State Warriors,,"Jan 9, 1994",F-C,6'9
Oliver Miller,Phoenix Suns,,"Jan 2, 1994",C,6'9
Scottie Pippen,Chicago Bulls,,"Dec 26, 1993",SF,6'8
Karl Malone,Utah Jazz,,"Dec 19, 1993",PF,6'9
Shaquille O'Neal,Orlando Magic,,"Dec 12, 1993",C,7'1
David Robinson,San Antonio Spurs,,"Dec 5, 1993",C,7'1
Glen Rice,Miami Heat,,"Nov 28, 1993",SF,6'8
Charles Barkley,Phoenix Suns,,"Nov 21, 1993",PF,6'6
Hakeem Olajuwon,Houston Rockets,,"Nov 14, 1993",C,7'0
Larry Johnson,Charlotte Hornets,,"Apr 25, 1993",F,6'6
Alonzo Mourning,Charlotte Hornets,,"Apr 18, 1993",C,6'10
Hakeem Olajuwon,Houston Rockets,,"Apr 11, 1993",C,7'0
Charles Barkley,Phoenix Suns,,"Apr 4, 1993",PF,6'6
Dikembe Mutombo,Denver Nuggets,,"Mar 28, 1993",C,7'2
Patrick Ewing,New York Knicks,,"Mar 21, 1993",C,7'0
Rumeal Robinson,New Jersey Nets,,"Mar 14, 1993",PG,6'2
Rony Seikaly,Miami Heat,,"Mar 7, 1993",C,6'11
Hakeem Olajuwon,Houston Rockets,,"Feb 28, 1993",C,7'0
Larry Johnson,Charlotte Hornets,,"Feb 14, 1993",F,6'6
Nick Anderson,Orlando Magic,,"Feb 7, 1993",GF,6'6
Karl Malone,Utah Jazz,,"Jan 31, 1993",PF,6'9
Patrick Ewing,New York Knicks,,"Jan 24, 1993",C,7'0
Hakeem Olajuwon,Houston Rockets,,"Jan 17, 1993",C,7'0
Shawn Kemp,Seattle SuperSonics,,"Jan 10, 1993",C,6'10
David Robinson,San Antonio Spurs,,"Jan 3, 1993",C,7'1
Sean Elliott,San Antonio Spurs,,"Dec 27, 1992",SF,6'8
Patrick Ewing,New York Knicks,,"Dec 20, 1992",C,7'0
Charles Barkley,Phoenix Suns,,"Dec 13, 1992",PF,6'6
Drazen Petrovic,New Jersey Nets,,"Dec 6, 1992",SG,6'5
David Robinson,San Antonio Spurs,,"Nov 29, 1992",C,7'1
Michael Jordan,Chicago Bulls,,"Nov 22, 1992",SG,6'6
Shaquille O'Neal,Orlando Magic,,"Nov 15, 1992",C,7'1
Karl Malone,Utah Jazz,,"Apr 19, 1992",PF,6'9
Reggie Lewis,Boston Celtics,,"Apr 12, 1992",SF,6'7
Mookie Blaylock,New Jersey Nets,,"Apr 5, 1992",PG,6'1
Mark Jackson,New York Knicks,,"Mar 29, 1992",PG,6'1
Larry Johnson,Charlotte Hornets,,"Mar 22, 1992",F,6'6
Joe Dumars,Detroit Pistons,,"Mar 15, 1992",SG,6'3
Karl Malone,Utah Jazz,,"Mar 8, 1992",PF,6'9
Danny Manning,Los Angeles Clippers,,"Mar 1, 1992",F,6'10
Tim Hardaway,Golden State Warriors,,"Feb 23, 1992",PG,6'0
John Stockton,Utah Jazz,,"Feb 16, 1992",PG,6'1
Larry Nance,Cleveland Cavaliers,,"Feb 2, 1992",PF,6'10
Nick Anderson,Orlando Magic,,"Jan 26, 1992",GF,6'6
Tim Hardaway,Golden State Warriors,,"Jan 19, 1992",PG,6'0
Michael Jordan,Chicago Bulls,,"Jan 12, 1992",SG,6'6
Patrick Ewing,New York Knicks,,"Jan 5, 1992",C,7'0
Scottie Pippen,Chicago Bulls,,"Dec 29, 1991",SF,6'8
Pervis Ellison,Washington Bullets,,"Dec 22, 1991",C,6'9
Dennis Rodman,Detroit Pistons,,"Dec 15, 1991",PF,6'7
Jeff Malone,Utah Jazz,,"Dec 8, 1991",SG,6'4
David Robinson,San Antonio Spurs,,"Dec 1, 1991",C,7'1
Kevin Willis,Atlanta Hawks,,"Nov 24, 1991",C,7'0
Brad Daugherty,Cleveland Cavaliers,,"Nov 17, 1991",C,7'0
Chris Mullin,Golden State Warriors,,"Nov 10, 1991",SF,6'7
Scott Skiles,Orlando Magic,,"Apr 21, 1991",PG,6'1
Clyde Drexler,Portland Trail Blazers,,"Apr 14, 1991",SG,6'7
Magic Johnson,Los Angeles Lakers,,"Apr 7, 1991",PG,6'9
Clyde Drexler,Portland Trail Blazers,,"Mar 31, 1991",SG,6'7
Mitch Richmond,Golden State Warriors,,"Mar 24, 1991",SG,6'5
Kenny Smith,Houston Rockets,,"Mar 17, 1991",PG,6'3
Dennis Scott,Orlando Magic,,"Mar 10, 1991",SF,6'8
Gerald Wilkins,New York Knicks,,"Mar 3, 1991",SG,6'6
Reggie Miller,Indiana Pacers,,"Feb 24, 1991",SG,6'7
Lionel Simmons,Sacramento Kings,,"Feb 17, 1991",SF,6'7
Otis Thorpe,Houston Rockets,,"Feb 3, 1991",PF,6'9
Michael Adams,Denver Nuggets,,"Jan 27, 1991",PG,5'10
Tim Hardaway,Golden State Warriors,,"Jan 20, 1991",PG,6'0
Bernard King,Washington Bullets,,"Jan 13, 1991",SF,6'7
Dominique Wilkins,Atlanta Hawks,,"Jan 6, 1991",SF,6'7
Ricky Pierce,Milwaukee Bucks,,"Dec 30, 1990",SG,6'4
Michael Jordan,Chicago Bulls,,"Dec 23, 1990",SG,6'6
Kevin Johnson,Phoenix Suns,,"Dec 16, 1990",PG,6'1
John Stockton,Utah Jazz,,"Dec 9, 1990",PG,6'1
Michael Jordan,Chicago Bulls,,"Dec 2, 1990",SG,6'6
Charles Barkley,Philadelphia Sixers,,"Nov 25, 1990",PF,6'6
Clyde Drexler,Portland Trail Blazers,,"Nov 18, 1990",SG,6'7
Chris Mullin,Golden State Warriors,,"Nov 11, 1990",SF,6'7
David Robinson,San Antonio Spurs,,"Apr 22, 1990",C,7'1
Magic Johnson,Los Angeles Lakers,,"Apr 15, 1990",PG,6'9
Charles Barkley,Philadelphia Sixers,,"Apr 8, 1990",PF,6'6
Michael Jordan,Chicago Bulls,,"Apr 1, 1990",SG,6'6
David Robinson,San Antonio Spurs,,"Mar 25, 1990",C,7'1
Kevin Johnson,Phoenix Suns,,"Mar 18, 1990",PG,6'1
Rony Seikaly,Miami Heat,,"Mar 11, 1990",C,6'11
Hakeem Olajuwon,Houston Rockets,,"Mar 4, 1990",C,7'0
David Robinson,San Antonio Spurs,,"Feb 25, 1990",C,7'1
Tom Chambers,Phoenix Suns,,"Feb 18, 1990",PF,6'10
Tim Hardaway,Golden State Warriors,,"Feb 4, 1990",PG,6'0
Karl Malone,Utah Jazz,,"Jan 28, 1990",PF,6'9
Alvin Robertson,Milwaukee Bucks,,"Jan 21, 1990",SG,6'3
Ron Harper,Los Angeles Clippers,,"Jan 14, 1990",SG,6'6
Terry Teagle,Golden State Warriors,,"Jan 7, 1990",SG,6'5
Karl Malone,Utah Jazz,,"Dec 30, 1989",PF,6'9
Terry Cummings,San Antonio Spurs,,"Dec 24, 1989",PF,6'9
Chris Mullin,Golden State Warriors,,"Dec 17, 1989",SF,6'7
Michael Jordan,Chicago Bulls,,"Dec 10, 1989",SG,6'6
Patrick Ewing,New York Knicks,,"Dec 3, 1989",C,7'0
Clyde Drexler,Portland Trail Blazers,,"Nov 26, 1989",SG,6'7
John Stockton,Utah Jazz,,"Nov 19, 1989",PG,6'1
Vern Fleming,Indiana Pacers,,"Nov 12, 1989",G,6'5
Xavier McDaniel,Seattle SuperSonics,,"Apr 23, 1989",PF,6'7
Karl Malone,Utah Jazz,,"Apr 16, 1989",PF,6'9
Clyde Drexler,Portland Trail Blazers,,"Apr 9, 1989",SG,6'7
Michael Jordan,Chicago Bulls,,"Apr 2, 1989",SG,6'6
Michael Jordan,Chicago Bulls,,"Mar 26, 1989",SG,6'6
Kevin Johnson,Phoenix Suns,,"Mar 19, 1989",PG,6'1
Isiah Thomas,Detroit Pistons,,"Mar 12, 1989",PG,6'1
Chuck Person,Indiana Pacers,,"Mar 5, 1989",SF,6'8
Patrick Ewing,New York Knicks,,"Feb 26, 1989",C,7'0
Hakeem Olajuwon,Houston Rockets,,"Feb 19, 1989",C,7'0
Ron Harper,Cleveland Cavaliers,,"Feb 5, 1989",SG,6'6
Tom Chambers,Phoenix Suns,,"Jan 29, 1989",PF,6'10
Chris Mullin,Golden State Warriors,,"Jan 22, 1989",SF,6'7
Michael Jordan,Chicago Bulls,,"Jan 15, 1989",SG,6'6
Dale Ellis,Seattle SuperSonics,,"Jan 8, 1989",GF,6'7
Magic Johnson,Los Angeles Lakers,,"Jan 1, 1989",PG,6'9
Clyde Drexler,Portland Trail Blazers,,"Dec 25, 1988",SG,6'7
Robert Parish,Boston Celtics,,"Dec 18, 1988",C,7'0
Michael Adams,Denver Nuggets,,"Dec 11, 1988",PG,5'10
Magic Johnson,Los Angeles Lakers,,"Dec 4, 1988",PG,6'9
Patrick Ewing,New York Knicks,,"Nov 27, 1988",C,7'0
Michael Jordan,Chicago Bulls,,"Nov 20, 1988",SG,6'6
Hakeem Olajuwon,Houston Rockets,,"Nov 13, 1988",C,7'0
Karl Malone,Utah Jazz,,"Apr 24, 1988",PF,6'9
Fat Lever,Denver Nuggets,,"Apr 17, 1988",PG,6'3
Harold Pressley,Sacramento Kings,,"Apr 10, 1988",GF,6'7
Michael Jordan,Chicago Bulls,,"Apr 3, 1988",SG,6'6
Michael Jordan,Chicago Bulls,,"Mar 27, 1988",SG,6'6
Charles Barkley,Philadelphia Sixers,,"Mar 20, 1988",PF,6'6
Clyde Drexler,Portland Trail Blazers,,"Mar 13, 1988",SG,6'7
Bobby Hansen,Utah Jazz,,"Mar 6, 1988",SG,6'6
Roy Tarpley,Dallas Mavericks,,"Feb 28, 1988",PF,6'11
John Stockton,Utah Jazz,,"Feb 21, 1988",PG,6'1
Dominique Wilkins,Atlanta Hawks,,"Feb 14, 1988",SF,6'7
Bernard King,Washington Bullets,,"Jan 31, 1988",SF,6'7
Michael Jordan,Chicago Bulls,,"Jan 24, 1988",SG,6'6
Dominique Wilkins,Atlanta Hawks,,"Jan 17, 1988",SF,6'7
Byron Scott,Los Angeles Lakers,,"Jan 10, 1988",SG,6'3
Karl Malone,Utah Jazz,,"Jan 3, 1988",PF,6'9
Dominique Wilkins,Atlanta Hawks,,"Dec 27, 1987",SF,6'7
Larry Nance,Phoenix Suns,,"Dec 20, 1987",PF,6'10
Magic Johnson,Los Angeles Lakers,,"Dec 13, 1987",PG,6'9
Clyde Drexler,Portland Trail Blazers,,"Dec 6, 1987",SG,6'7
Clyde Drexler,Portland Trail Blazers,,"Nov 29, 1987",SG,6'7
Xavier McDaniel,Seattle SuperSonics,,"Nov 22, 1987",PF,6'7
Larry Bird,Boston Celtics,,"Nov 15, 1987",SF,6'9
Julius Erving,Philadelphia Sixers,,"Apr 19, 1987",SF,6'6
Michael Jordan,Chicago Bulls,,"Apr 12, 1987",SG,6'6
Magic Johnson,Los Angeles Lakers,,"Apr 5, 1987",PG,6'9
Larry Smith,Golden State Warriors,,"Mar 29, 1987",PF,6'8
Magic Johnson,Los Angeles Lakers,,"Mar 22, 1987",PG,6'9
Karl Malone,Utah Jazz,,"Mar 15, 1987",PF,6'9
Magic Johnson,Los Angeles Lakers,,"Mar 8, 1987",PG,6'9
Michael Jordan,Chicago Bulls,,"Mar 1, 1987",SG,6'6
Moses Malone,Washington Bullets,,"Feb 22, 1987",C,6'10
Magic Johnson,Los Angeles Lakers,,"Feb 15, 1987",PG,6'9
Fat Lever,Denver Nuggets,,"Feb 1, 1987",PG,6'3
Alex English,Denver Nuggets,,"Jan 25, 1987",SF,6'7
Otis Thorpe,Sacramento Kings,,"Jan 18, 1987",PF,6'9
Isiah Thomas,Detroit Pistons,,"Jan 11, 1987",PG,6'1
Larry Bird,Boston Celtics,,"Jan 4, 1987",SF,6'9
Patrick Ewing,New York Knicks,,"Dec 28, 1986",C,7'0
Magic Johnson,Los Angeles Lakers,,"Dec 21, 1986",PG,6'9
Dominique Wilkins,Atlanta Hawks,,"Dec 14, 1986",SF,6'7
Tom Chambers,Seattle SuperSonics,,"Dec 7, 1986",PF,6'10
Hot Rod Williams,Cleveland Cavaliers,,"Nov 30, 1986",FC,6'11
Alvin Robertson,San Antonio Spurs,,"Nov 23, 1986",SG,6'3
Robert Parish,Boston Celtics,,"Nov 16, 1986",C,7'0
Michael Jordan,Chicago Bulls,,"Nov 9, 1986",SG,6'6
Dominique Wilkins,Atlanta Hawks,,"Apr 13, 1986",SF,6'7
Herb Williams,Indiana Pacers,,"Apr 6, 1986",C,6'10
Charles Barkley,Philadelphia Sixers,,"Mar 30, 1986",PF,6'6
Adrian Dantley,Utah Jazz,,"Mar 23, 1986",SF,6'5
Larry Bird,Boston Celtics,,"Mar 16, 1986",SF,6'9
Magic Johnson,Los Angeles Lakers,,"Mar 9, 1986",PG,6'9
Charles Barkley,Philadelphia Sixers,,"Mar 2, 1986",PF,6'6
Sidney Moncrief,Milwaukee Bucks,,"Feb 23, 1986",SG,6'3
Larry Bird,Boston Celtics,,"Feb 16, 1986",SF,6'9
Alex English,Denver Nuggets,,"Feb 2, 1986",SF,6'7
Charles Barkley,Philadelphia Sixers,,"Jan 26, 1986",PF,6'6
Larry Bird,Boston Celtics,,"Jan 19, 1986",SF,6'9
Calvin Natt,Denver Nuggets,,"Jan 12, 1986",F,6'6
Clyde Drexler,Portland Trail Blazers,,"Jan 5, 1986",SG,6'7
Dominique Wilkins,Atlanta Hawks,,"Dec 29, 1985",SF,6'7
Larry Nance,Phoenix Suns,,"Dec 22, 1985",PF,6'10
Alvin Robertson,San Antonio Spurs,,"Dec 15, 1985",SG,6'3
Jeff Ruland,Washington Bullets,,"Dec 8, 1985",C,6'10
Larry Bird,Boston Celtics,,"Dec 1, 1985",SF,6'9
Alex English,Denver Nuggets,,"Nov 24, 1985",SF,6'7
Patrick Ewing,New York Knicks,,"Nov 17, 1985",C,7'0
Buck Williams,New Jersey Nets,,"Nov 10, 1985",PF,6'8
Derek Smith,Los Angeles Clippers,,"Nov 3, 1985",SG,6'6
Micheal Ray Richardson,New Jersey Nets,,"Apr 14, 1985",PG,6'5
Derek Smith,Los Angeles Clippers,,"Apr 7, 1985",SG,6'6
Calvin Natt,Denver Nuggets,,"Apr 1, 1985",F,6'6
Kareem Abdul-Jabbar,Los Angeles Lakers,,"Mar 24, 1985",C,7'2
Larry Bird,Boston Celtics,,"Mar 17, 1985",SF,6'9
Darrell Griffith,Utah Jazz,,"Mar 10, 1985",SG,6'4
Sleepy Floyd,Golden State Warriors,,"Mar 3, 1985",PG,6'3
Mark Aguirre,Dallas Mavericks,,"Feb 24, 1985",SF,6'6
Magic Johnson,Los Angeles Lakers,,"Feb 17, 1985",PG,6'9
Dominique Wilkins,Atlanta Hawks,,"Feb 3, 1985",SF,6'7
Tom McMillen,Washington Bullets,,"Jan 27, 1985",PF,6'11
Michael Jordan,Chicago Bulls,,"Jan 20, 1985",SG,6'6
World B. Free,Cleveland Cavaliers,,"Jan 13, 1985",G,6'2
Isiah Thomas,Detroit Pistons,,"Jan 6, 1985",PG,6'1
Micheal Ray Richardson,New Jersey Nets,,"Dec 30, 1984",PG,6'5
Terry Cummings,Milwaukee Bucks,,"Dec 23, 1984",PF,6'9
Derek Smith,Los Angeles Clippers,,"Dec 16, 1984",SG,6'6
Orlando Woolridge,Chicago Bulls,,"Dec 9, 1984",PF,6'9
Jack Sikma,Seattle SuperSonics,,"Dec 2, 1984",C,6'11
Bernard King,New York Knicks,,"Nov 25, 1984",SF,6'7
Moses Malone,Philadelphia Sixers,,"Nov 18, 1984",C,6'10
Alex English,Denver Nuggets,,"Nov 11, 1984",SF,6'7
Larry Nance,Phoenix Suns,,"Nov 4, 1984",PF,6'10
Dominique Wilkins,Atlanta Hawks,,"Apr 15, 1984",SF,6'7
Kareem Abdul-Jabbar,Los Angeles Lakers,,"Apr 8, 1984",C,7'2
Isiah Thomas,Detroit Pistons,,"Apr 1, 1984",PG,6'1
Moses Malone,Philadelphia Sixers,,"Mar 25, 1984",C,6'10
Adrian Dantley,Utah Jazz,,"Mar 18, 1984",SF,6'5
Larry Bird,Boston Celtics,,"Mar 11, 1984",SF,6'9
Mickey Johnson,Golden State Warriors,,"Mar 4, 1984",PF,6'10
Magic Johnson,Los Angeles Lakers,,"Feb 26, 1984",PG,6'9
Larry Bird,Boston Celtics,,"Feb 19, 1984",SF,6'9
Kareem Abdul-Jabbar,Los Angeles Lakers,,"Feb 12, 1984",C,7'2
Bernard King,New York Knicks,,"Feb 5, 1984",SF,6'7
Buck Williams,New Jersey Nets,,"Jan 22, 1984",PF,6'8
Kelly Tripucka,Detroit Pistons,,"Jan 15, 1984",SF,6'6
Purvis Short,Golden State Warriors,,"Jan 8, 1984",SF,6'7
Isiah Thomas,Detroit Pistons,,"Jan 1, 1984",PG,6'1
Dan Roundfield,Atlanta Hawks,,"Dec 25, 1983",PF,6'8
Adrian Dantley,Utah Jazz,,"Dec 18, 1983",SF,6'5
Jeff Ruland,Washington Bullets,,"Dec 11, 1983",C,6'10
Rickey Green,Utah Jazz,,"Dec 4, 1983",PG,6'0
Mark Aguirre,Dallas Mavericks,,"Nov 27, 1983",SF,6'6
Kiki Vandeweghe,Denver Nuggets,,"Nov 20, 1983",SF,6'8
Magic Johnson,Los Angeles Lakers,,"Nov 13, 1983",PG,6'9
Eddie Johnson,Kansas City Kings,,"Nov 6, 1983",SF,6'7
Mike Glenn,Atlanta Hawks,,"Apr 17, 1983",G,6'2
Magic Johnson,Los Angeles Lakers,,"Apr 10, 1983",PG,6'9
Larry Bird,Boston Celtics,,"Apr 3, 1983",SF,6'9
Jeff Ruland,Washington Bullets,,"Mar 27, 1983",C,6'10
Andrew Toney,Philadelphia Sixers,,"Mar 20, 1983",G,6'3
Gus Williams,Seattle SuperSonics,,"Mar 20, 1983",G,6'2
Magic Johnson,Los Angeles Lakers,,"Mar 13, 1983",PG,6'9
John Drew,Utah Jazz,,"Mar 6, 1983",GF,6'6
Walter Davis,Phoenix Suns,,"Feb 27, 1983",GF,6'6
Larry Nance,Phoenix Suns,,"Feb 20, 1983",PF,6'10
Moses Malone,Philadelphia Sixers,,"Feb 6, 1983",C,6'10
Artis Gilmore,San Antonio Spurs,,"Jan 30, 1983",C,7'2
Joe Barry Carroll,Golden State Warriors,,"Jan 23, 1983",FC,7'0
Alex English,Denver Nuggets,,"Jan 16, 1983",SF,6'7
Mickey Johnson,New Jersey Nets,,"Jan 9, 1983",PF,6'10
Kiki Vandeweghe,Denver Nuggets,,"Jan 2, 1983",SF,6'8
Maurice Lucas,Phoenix Suns,,"Dec 26, 1982",PF,6'9
Isiah Thomas,Detroit Pistons,,"Dec 19, 1982",PG,6'1
Larry Bird,Boston Celtics,,"Dec 12, 1982",SF,6'9
Buck Williams,New Jersey Nets,,"Dec 5, 1982",PF,6'8
Larry Bird,Boston Celtics,,"Nov 28, 1982",SF,6'9
Alex English,Denver Nuggets,,"Nov 21, 1982",SF,6'7
Kelly Tripucka,Detroit Pistons,,"Nov 14, 1982",SF,6'6
Reggie Theus,Chicago Bulls,,"Nov 7, 1982",GF,6'7
Ray Williams,New Jersey Nets,,"Apr 18, 1982",G,6'3
Billy Ray Bates,Portland Trail Blazers,,"Apr 11, 1982",SG,6'4
Jack Sikma,Seattle SuperSonics,,"Apr 4, 1982",C,6'11
Moses Malone,Houston Rockets,,"Mar 28, 1982",C,6'10
Robert Parish,Boston Celtics,,"Mar 21, 1982",C,7'0
Kelly Tripucka,Detroit Pistons,,"Mar 14, 1982",SF,6'6
George Gervin,San Antonio Spurs,,"Mar 7, 1982",GF,6'7
Kareem Abdul-Jabbar,Los Angeles Lakers,,"Feb 28, 1982",C,7'2
"Eddie Johnson, Jr.",Atlanta Hawks,,"Feb 21, 1982",G,6'2
Jay Vincent,Dallas Mavericks,,"Feb 14, 1982",F,6'7
Moses Malone,Houston Rockets,,"Feb 7, 1982",C,6'10
Greg Ballard,Washington Bullets,,"Jan 24, 1982",F,6'7
Larry Bird,Boston Celtics,,"Jan 17, 1982",SF,6'9
Gus Williams,Seattle SuperSonics,,"Jan 10, 1982",G,6'2
George Gervin,San Antonio Spurs,,"Jan 3, 1982",GF,6'7
Larry Bird,Boston Celtics,,"Dec 27, 1981",SF,6'9
Bernard King,Golden State Warriors,,"Dec 20, 1981",SF,6'7
Artis Gilmore,Chicago Bulls,,"Dec 13, 1981",C,7'2
George Gervin,San Antonio Spurs,,"Dec 6, 1981",GF,6'7
Alex English,Denver Nuggets,,"Nov 29, 1981",SF,6'7
Dan Roundfield,Atlanta Hawks,,"Nov 22, 1981",PF,6'8
Ron Brewer,San Antonio Spurs,,"Nov 15, 1981",G,6'4
Mychal Thompson,Portland Trail Blazers,,"Nov 8, 1981",FC,6'10
Robert Reid,Houston Rockets,,"Mar 29, 1981",GF,6'8
Micheal Ray Richardson,New York Knicks,,"Mar 22, 1981",PG,6'5
Moses Malone,Houston Rockets,,"Mar 15, 1981",C,6'10
Larry Smith,Golden State Warriors,,"Mar 8, 1981",PF,6'8
Terry Tyler,Detroit Pistons,,"Mar 1, 1981",GF,6'7
Mike Mitchell,Cleveland Cavaliers,,"Feb 22, 1981",F,6'7
Mike Newlin,New Jersey Nets,,"Feb 15, 1981",GF,6'4
Caldwell Jones,Philadelphia Sixers,,"Feb 8, 1981",FC,6'11
Kenny Carr,Cleveland Cavaliers,,"Feb 1, 1981",GF,6'7
Phil Ford,Kansas City Kings,,"Jan 25, 1981",G,6'2
Julius Erving,Philadelphia Sixers,,"Jan 18, 1981",SF,6'6
Tiny Archibald,Boston Celtics,,"Jan 11, 1981",PG,6'1
Bernard King,Golden State Warriors,,"Jan 4, 1981",SF,6'7
Dennis Johnson,Phoenix Suns,,"Dec 28, 1980",PG,6'4
Kareem Abdul-Jabbar,Los Angeles Lakers,,"Dec 21, 1980",C,7'2
Dan Roundfield,Atlanta Hawks,,"Dec 14, 1980",PF,6'8
"Mike Dunleavy, Sr.",Houston Rockets,,"Dec 7, 1980",G,6'3
Robert Parish,Boston Celtics,,"Nov 30, 1980",C,7'0
Artis Gilmore,Chicago Bulls,,"Nov 23, 1980",C,7'2
Billy Knight,Indiana Pacers,,"Nov 16, 1980",GF,6'6
Elvin Hayes,Washington Bullets,,"Nov 9, 1980",FC,6'9
David Thompson,Denver Nuggets,,"Nov 2, 1980",GF,6'5
Otis Birdsong,Kansas City Kings,,"Oct 26, 1980",GF,6'3
Adrian Dantley,Utah Jazz,,"Oct 19, 1980",SF,6'5
Kevin Grevey,Washington Bullets,,"Mar 30, 1980",GF,6'5
Billy Ray Bates,Portland Trail Blazers,,"Mar 23, 1980",SG,6'4
Magic Johnson,Los Angeles Lakers,,"Mar 16, 1980",PG,6'9
Cliff Robinson,New Jersey Nets,,"Mar 9, 1980",F,6'9
Larry Bird,Boston Celtics,,"Mar 2, 1980",SF,6'9
Calvin Natt,Portland Trail Blazers,,"Feb 24, 1980",F,6'6
Kareem Abdul-Jabbar,Los Angeles Lakers,,"Feb 17, 1980",C,7'2
Rick Barry,Houston Rockets,,"Feb 10, 1980",F,6'7
George Gervin,San Antonio Spurs,,"Jan 27, 1980",GF,6'7
Dennis Johnson,Seattle SuperSonics,,"Jan 20, 1980",PG,6'4
Greg Ballard,Washington Bullets,,"Jan 13, 1980",F,6'7
Scott Wedman,Kansas City Kings,,"Jan 6, 1980",GF,6'7
Mike Mitchell,Cleveland Cavaliers,,"Dec 30, 1979",F,6'7
Swen Nater,San Diego Clippers,,"Dec 23, 1979",C,6'11
Dan Roundfield,Atlanta Hawks,,"Dec 16, 1979",PF,6'8
Kareem Abdul-Jabbar,Los Angeles Lakers,,"Dec 9, 1979",C,7'2
Adrian Dantley,Utah Jazz,,"Dec 2, 1979",SF,6'5
Walter Davis,Phoenix Suns,,"Nov 25, 1979",GF,6'6
Phil Ford,Kansas City Kings,,"Nov 18, 1979",G,6'2
Magic Johnson,Los Angeles Lakers,,"Nov 11, 1979",PG,6'9
Marques Johnson,Milwaukee Bucks,,"Nov 4, 1979",GF,6'7
Micheal Ray Richardson,New York Knicks,,"Oct 28, 1979",PG,6'5
Julius Erving,Philadelphia Sixers,,"Oct 21, 1979",SF,6'6